source_type,source_id,relation,target_type,target_id,detail,evidence_file,evidence_page
tender,1013009,belongs to project,project,pr0003,,Contract_Awards_PDFs/Tender_1013009.pdf,1
company,co0016,was awarded,tender,1013268,23590501.218,Contract_Awards_PDFs/Tender_1013268.pdf,1
organization,og0014,awarded contract to,company,co0016,23590501.218,Contract_Awards_PDFs/Tender_1013268.pdf,1
person,pp0009,approved award,tender,1013268,Superintending Engineer,Contract_Awards_PDFs/Tender_1013268.pdf,1
organization,og0014,part of,organization,og0002,,Contract_Awards_PDFs/Tender_1013268.pdf,1
organization,og0002,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1013268.pdf,1
tender,1013268,belongs to project,project,pr0011,,Contract_Awards_PDFs/Tender_1013268.pdf,1
company,co0025,was awarded,tender,1013270,25720105.086,Contract_Awards_PDFs/Tender_1013270.pdf,1
organization,og0014,awarded contract to,company,co0025,25720105.086,Contract_Awards_PDFs/Tender_1013270.pdf,1
person,pp0009,approved award,tender,1013270,Superintending Engineer,Contract_Awards_PDFs/Tender_1013270.pdf,1
organization,og0014,part of,organization,og0002,,Contract_Awards_PDFs/Tender_1013270.pdf,1
organization,og0002,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1013270.pdf,1
tender,1013270,belongs to project,project,pr0011,,Contract_Awards_PDFs/Tender_1013270.pdf,1
company,co0026,was awarded,tender,1014738,6008902.200,Contract_Awards_PDFs/Tender_1014738.pdf,1
organization,og0011,awarded contract to,company,co0026,6008902.200,Contract_Awards_PDFs/Tender_1014738.pdf,1
person,pp0007,approved award,tender,1014738,Sup. Eng. (Elec.),Contract_Awards_PDFs/Tender_1014738.pdf,1
organization,og0011,part of,organization,og0002,,Contract_Awards_PDFs/Tender_1014738.pdf,1
organization,og0002,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1014738.pdf,1
tender,1014738,belongs to project,project,pr0012,,Contract_Awards_PDFs/Tender_1014738.pdf,1
company,co0027,was awarded,tender,1016323,3596400.000,Contract_Awards_PDFs/Tender_1016323.pdf,1
organization,og0020,awarded contract to,company,co0027,3596400.000,Contract_Awards_PDFs/Tender_1016323.pdf,1
person,pp0013,approved award,tender,1016323,Member (Engineer),Contract_Awards_PDFs/Tender_1016323.pdf,1
organization,og0020,part of,organization,og0020,,Contract_Awards_PDFs/Tender_1016323.pdf,1
organization,og0020,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1016323.pdf,1
tender,1016323,belongs to project,project,pr0003,,Contract_Awards_PDFs/Tender_1016323.pdf,1
company,co0028,was awarded,tender,1016492,75010.025,Contract_Awards_PDFs/Tender_1016492.pdf,1
organization,og0020,awarded contract to,company,co0028,75010.025,Contract_Awards_PDFs/Tender_1016492.pdf,1
