date,event,tender_id,entity,original,source_file,page
2025-07-02,bid submission closes,1124881,Superintending Engineer (Civil Circle-1),02-Jul-2025 15:00,Tender Notice_PDFs/RAJUK_Tender_1124881.pdf,1
2025-07-02,bids opened,1124881,Superintending Engineer (Civil Circle-1),02-Jul-2025 15:00,Tender Notice_PDFs/RAJUK_Tender_1124881.pdf,1
2025-07-02,last day for bid security,1124881,Superintending Engineer (Civil Circle-1),02-Jul-2025 14:30,Tender Notice_PDFs/RAJUK_Tender_1124881.pdf,1
2025-07-02,notice published,1128704,Management Information System (MIS),02-Jul-2025 11:00,Tender Notice_PDFs/CDA_Tender_1128704.pdf,1
2025-07-02,pre-tender meeting starts,1128704,Management Information System (MIS),02-Jul-2025 13:00,Tender Notice_PDFs/CDA_Tender_1128704.pdf,1
2025-07-02,notice published,1129166,Management Information System (MIS),02-Jul-2025 11:00,Tender Notice_PDFs/CDA_Tender_1129166.pdf,1
2025-07-02,pre-tender meeting starts,1129166,Management Information System (MIS),02-Jul-2025 13:00,Tender Notice_PDFs/CDA_Tender_1129166.pdf,1
2025-07-02,notice published,1129170,Management Information System (MIS),02-Jul-2025 11:01,Tender Notice_PDFs/CDA_Tender_1129170.pdf,1
2025-07-02,pre-tender meeting starts,1129170,Management Information System (MIS),02-Jul-2025 13:00,Tender Notice_PDFs/CDA_Tender_1129170.pdf,1
2025-07-03,tender valid until,1023060,Uttara Apartment Project,03-Jul-2025,Tender Notice_PDFs/RAJUK_Tender_1023060.pdf,1
2025-07-03,contract work completes,1074661,NATIONAL DEVELOPMENT ENGINEERS LTD.,03-Jul-2025,Contract_Awards_PDFs/Tender_1074661.pdf,1
2025-07-03,bid submission closes,1123107,"Project Director(M.Uddin), Chittagong Development Authority",03-Jul-2025 14:30,Tender Notice_PDFs/CDA_Tender_1123107.pdf,1
2025-07-03,bids opened,1123107,"Project Director(M.Uddin), Chittagong Development Authority",03-Jul-2025 14:30,Tender Notice_PDFs/CDA_Tender_1123107.pdf,1
2025-07-03,last day for bid security,1123107,"Project Director(M.Uddin), Chittagong Development Authority",03-Jul-2025 14:00,Tender Notice_PDFs/CDA_Tender_1123107.pdf,1
2025-07-04,bid security valid until,1056194,Office of the Superintending Engineer (Mechanical),04-Jul-2025,Tender Notice_PDFs/RAJUK_Tender_1056194.pdf,1
2025-07-04,bid security valid until,1056195,Office of the Superintending Engineer (Mechanical),04-Jul-2025,Tender Notice_PDFs/RAJUK_Tender_1056195.pdf,1
2025-07-04,bid security valid until,1059690,Office of the Superintending Engineer (Mechanical),04-Jul-2025,Tender Notice_PDFs/RAJUK_Tender_1059690.pdf,1
2025-07-07,last day to buy the document,1117569,"Construction of multi-storied apartment Buildings on 9(Nine) nos abandoned plot at Gulshan,Mohammadpur, Lalmatia & Dhanmondi, Dhaka.",07-Jul-2025 17:00,Tender Notice_PDFs/RAJUK_Tender_1117569.pdf,1
2025-07-07,notice published,1128572,"Project Director(M.Uddin), Chittagong Development Authority",07-Jul-2025 10:00,Tender Notice_PDFs/CDA_Tender_1128572.pdf,1
2025-07-07,pre-tender meeting starts,1128572,"Project Director(M.Uddin), Chittagong Development Authority",07-Jul-2025 10:30,Tender Notice_PDFs/CDA_Tender_1128572.pdf,1
2025-07-07,tender advertised,1128572,M/S. Haroon & Brothers,07-Jul-2025 10:00,Contract_Awards_PDFs/Tender_1128572.pdf,1
2025-07-08,tender valid until,1081213,Superintending Engineer (Civil Circle-4),08-Jul-2025,Tender Notice_PDFs/RAJUK_Tender_1081213.pdf,1
2025-07-08,bid submission closes,1117569,"Construction of multi-storied apartment Buildings on 9(Nine) nos abandoned plot at Gulshan,Mohammadpur, Lalmatia & Dhanmondi, Dhaka.",08-Jul-2025 14:00,Tender Notice_PDFs/RAJUK_Tender_1117569.pdf,1
2025-07-08,bids opened,1117569,"Construction of multi-storied apartment Buildings on 9(Nine) nos abandoned plot at Gulshan,Mohammadpur, Lalmatia & Dhanmondi, Dhaka.",08-Jul-2025 14:00,Tender Notice_PDFs/RAJUK_Tender_1117569.pdf,1
2025-07-08,last day for bid security,1117569,"Construction of multi-storied apartment Buildings on 9(Nine) nos abandoned plot at Gulshan,Mohammadpur, Lalmatia & Dhanmondi, Dhaka.",08-Jul-2025 12:00,Tender Notice_PDFs/RAJUK_Tender_1117569.pdf,1
2025-07-09,contract signed,1082896,Concept Elevators & Engineering Ltd.,09-Jul-2025,Contract_Awards_PDFs/Tender_1082896.pdf,1
2025-07-09,pre-tender meeting ends,1128704,Management Information System (MIS),09-Jul-2025 11:00,Tender Notice_PDFs/CDA_Tender_1128704.pdf,1
2025-07-09,pre-tender meeting ends,1129170,Management Information System (MIS),09-Jul-2025 11:01,Tender Notice_PDFs/CDA_Tender_1129170.pdf,1
2025-07-09,notice published,1129777,Director (Admin),09-Jul-2025 20:00,Tender Notice_PDFs/RAJUK_Tender_1129777.pdf,1
2025-07-10,notification of award issued,1074002,M/S Sunny Construction,10-Jul-2025,Contract_Awards_PDFs/Tender_1074002.pdf,1
2025-07-10,tender valid until,1077063,Office of the Superintending Engineer (Mechanical),10-Jul-2025,Tender Notice_PDFs/RAJUK_Tender_1077063.pdf,1
2025-07-10,pre-tender meeting ends,1129166,Management Information System (MIS),10-Jul-2025 11:00,Tender Notice_PDFs/CDA_Tender_1129166.pdf,1
2025-07-10,pre-tender meeting starts,1129777,Director (Admin),10-Jul-2025 10:00,Tender Notice_PDFs/RAJUK_Tender_1129777.pdf,1
2025-07-11,tender valid until,1023059,Uttara Apartment Project,11-Jul-2025,Tender Notice_PDFs/RAJUK_Tender_1023059.pdf,1
2025-07-11,tender valid until,1038890,Office of the Superintending Engineer (Electrical),11-Jul-2025,Tender Notice_PDFs/RAJUK_Tender_1038890.pdf,1
2025-07-11,tender valid until,1074002,Office of the Superintending Engineer (Electrical),11-Jul-2025,Tender Notice_PDFs/RAJUK_Tender_1074002.pdf,1
2025-07-11,tender valid until,1074022,Office of the Superintending Engineer (Electrical),11-Jul-2025,Tender Notice_PDFs/RAJUK_Tender_1074022.pdf,1
2025-07-11,tender valid until,1074661,Office of the Superintending Engineer (Electrical),11-Jul-2025,Tender Notice_PDFs/RAJUK_Tender_1074661.pdf,1
2025-07-16,bid security valid until,1076521,Office of Exen (Maintenance),16-Jul-2025,Tender Notice_PDFs/KDA_Tender_1076521.pdf,1
2025-07-16,pre-tender meeting ends,1128572,"Project Director(M.Uddin), Chittagong Development Authority",16-Jul-2025 17:00,Tender Notice_PDFs/CDA_Tender_1128572.pdf,1
2025-07-16,last day to buy the document,1128704,Management Information System (MIS),16-Jul-2025 16:00,Tender Notice_PDFs/CDA_Tender_1128704.pdf,1
2025-07-16,last day to buy the document,1129166,Management Information System (MIS),16-Jul-2025 16:00,Tender Notice_PDFs/CDA_Tender_1129166.pdf,1
2025-07-16,last day to buy the document,1129170,Management Information System (MIS),16-Jul-2025 16:00,Tender Notice_PDFs/CDA_Tender_1129170.pdf,1
2025-07-17,bid submission closes,1128704,Management Information System (MIS),17-Jul-2025 15:00,Tender Notice_PDFs/CDA_Tender_1128704.pdf,1
2025-07-17,bids opened,1128704,Management Information System (MIS),17-Jul-2025 15:00,Tender Notice_PDFs/CDA_Tender_1128704.pdf,1
2025-07-17,last day for bid security,1128704,Management Information System (MIS),17-Jul-2025 14:00,Tender Notice_PDFs/CDA_Tender_1128704.pdf,1
2025-07-17,bid submission closes,1129166,Management Information System (MIS),17-Jul-2025 15:00,Tender Notice_PDFs/CDA_Tender_1129166.pdf,1
2025-07-17,bids opened,1129166,Management Information System (MIS),17-Jul-2025 15:00,Tender Notice_PDFs/CDA_Tender_1129166.pdf,1
2025-07-17,last day for bid security,1129166,Management Information System (MIS),17-Jul-2025 14:00,Tender Notice_PDFs/CDA_Tender_1129166.pdf,1
