id,name,match_key,other_printed_names,printed_name_variants,roles,documents,first_document,first_page,name_read_from_interleaved_layout,notices,awards,total_contract_value_taka,project_codes_printed,procuring_entities,tender_ids
pr0093,Not applicable,NOT APPLICABLE,,1,charged a tender notice,400,Tender Notice_PDFs/CDA_Tender_1006947.pdf,1,,400,0,0,Not applicable,"Project Director(M.Uddin), Chittagong Development Authority | Project Director (CDA Square) | Construction Division-1, Chattogram Development Authority | Office of the Secretary | Management Information System (MIS) | Construction Division-2 | Project Director(Elevated ExpressWay) | Project Director(CRBKRKBC) | Grid Maintenance Division, Comilla (PGCB) | Dinajpur Road Division | Project Director(M.Uddin) | Project Director(Mohammad Hasan) | Project Director(Rajib Das) | Electrical & Mechanical Engineering (EME) | Project Director (Saltgola) | Construction Division-3 | Construction Division-1 | Deputy Secretary | Project Director (Dewanhat) | Executive Engineer, Construction Division- 3 | Superintending Engineer-2 | Cox's Bazar Development Authority | Office of the Project Director, CoxDA Residential Flat Project-1 | Dinajpur O&M Division (BWDB) | Admin and Finance Section, Gazipur Development Authority | Office of the Project Director (KDA Multipurpose Building) | Office of the Assistant Programmer | Office of Exen (Maintenance) | Office of the Project Director (KDA Bus Terminal) | Office of Planning Officer | Office of the Project Director (KDA Bipone Bitan) | Office of Chief Engineer | Office of the Executive Engineer (Works) | Office of the Estate Director | Uttara Apartment Project | Construction of multi-storied apartment Buildings on 9(Nine) nos abandoned plot at Gulshan,Mohammadpur, Lalmatia & Dhanmondi, Dhaka. | Superintending Engineer (Civil Circle-1) | Superintending Engineer (Civil Circle-4) | Office of the Executive Engineer, LGED, Department (LGED) Barisal | office of Chief Engineer ( Project & Design) | Director (Admin) | Office of the Chairman",1006947;1023323;1023333;1028832;1032943;1044421;1048608;1049598;1054573;1111428;1115432;1123107;1128572;1128704;1129166;1129170;1153793;1153808;1153840;1153888;1231413;1251823;1266322;1267626;1280331;1305867;1306342;15000;18000;234888;235131;235166;265155;281992;287442;303865;309557;342502;357570;360423;363990;387658;395550;398199;409461;410561;423315;425270;427246;434918;436738;478680;498041;501707;504349;504351;507215;514221;515366;515689;516211;516212;516485;519402;523954;527700;528774;539744;539749;547817;598954;614376;616340;627787;629331;631780;637086;640368;644083;644697;647622;657600;667218;669414;670154;683811;728810;730799;731173;748220;749274;765097;773275;780102;786407;791688;809857;815786;824096;836329;840372;844951;851858;851863;851864;851865;865569;868908;894645;909179;909196;918775;924201;943936;945416;945875;965239;968867;971997;993988;993999;995096;1016323;1016492;1016870;1024374;1024391;1024467;1024517;1024525;1024741;1024787;1024807;1024943;1024948;1025944;1039767;1119438;1121584;1148941;1150077;1150442;1150459;1150469;1152584;1152671;1152766;1156352;1156359;1157085;1157266;1157269;1157288;1160337;1163187;1163354;1163355;1172101;1172974;1173101;1173102;1178437;1183753;1183822;1183835;1184463;1184466;1184467;1184470;1185193;1189962;1199127;1207915;1211856;1252250;1257433;1257498;1258384;1265472;20558;276338;417304;418364;424168;446283;464552;464647;471795;528460;540981;545922;549317;549467;550266;550267;563475;643399;644172;653051;653586;669151;681465;703185;703186;733637;771427;771464;781008;781011;808075;808097;827087;891971;916128;925146;925988;935064;935974;937128;949817;949919;950811;951146;963968;963987;966347;971832;978265;1288890;1290616;1306351;1306354;1007160;1009276;1010247;1013009;1020481;1037582;1072723;1076521;1132951;1146762;1173472;1229751;149365;179865;179866;262818;276885;302667;448675;459665;524780;561734;688763;688794;695670;699961;728690;728691;728692;783087;867256;925871;925890;926061;926062;926063;926064;953792;953793;1000530;1000945;1001120;1001613;1003623;1007300;1008266;1017045;1017448;1018667;1018730;1023051;1023052;1023053;1023054;1023057;1023059;1023060;1023061;1023063;1062494;1082896;1082915;1094618;1117569;1123494;1124881;1135970;1138415;1149822;1173557;1254223;168749;18994;597090;608564;608964;609656;614373;614620;615021;619039;620619;637168;637169;637171;639202;639295;639913;639927;641674;656595;659096;660091;661661;661888;663428;663429;671803;671804;671805;672061;684610;690870;699109;699111;699609;702345;710843;713439;713622;727612;732686;737121;745254;745718;747837;755031;770668;770669;775169;775307;775309;775518;788086;792351;796189;800104;800105;813704;826146;829141;840299;842165;857646;860503;860528;865422;865423;879523;882631;882632;889938;935084;935090;935092;935093;944366;948744;957875;959288;962656;962658;962659;974362;982350;984794;1140112;1140113;1142188;1234511;291722;595725;658227;731597;745614;836225;840860;960601
pr0094,Construction of Elevated Expressway from Lalkhan Bazar to Sha-Amanat Airport in Chattogram Town.,CONSTRUCTION OF ELEVATED EXPRESSWAY FROM LALKHAN BAZAR TO SHA AMANAT AIRPORT IN CHATTOGRAM TOWN,,1,charged a tender notice,5,Tender Notice_PDFs/CDA_Tender_1124277.pdf,1,,5,0,0,13201-01-224129200,Project Director(Elevated ExpressWay),1124277;469159;782755;814522;993983
pr0095,Supply and Installation of P6 Outdoor ( 30 feet x 15 feet or 31 feet x 16 feet or 31 feet x 15 feet or 32 feet x 16 feet or Â±Appropriate for the site) LED Video Display Panel at Chittagong New Market,SUPPLY AND INSTALLATION OF P6 OUTDOOR 30 FEET X 15 FEET OR 31 FEET X 16 FEET OR 31 FEET X 15 FEET OR 32 FEET X 16 FEET OR APPROPRIATE FOR THE SITE LED VIDEO DISPLAY PANEL AT CHITTAGONG NEW MARKET,,1,charged a tender notice,1,Tender Notice_PDFs/CDA_Tender_147563.pdf,1,,1,0,0,MIS/Outdoor LED/2017/77,Management Information System (MIS),147563
pr0096,Supply and Installation of P5 Outdoor LED Display Screen at Biponi Bitan (Chittagong New Market),SUPPLY AND INSTALLATION OF P5 OUTDOOR LED DISPLAY SCREEN AT BIPONI BITAN CHITTAGONG NEW MARKET,,1,charged a tender notice,1,Tender Notice_PDFs/CDA_Tender_173113.pdf,1,,1,0,0,MIS/LED/2018/84,Management Information System (MIS),173113
pr0097,Building Repair and Maintenance maintenance,BUILDING REPAIR AND MAINTENANCE MAINTENANCE,,1,charged a tender notice,14,Tender Notice_PDFs/RAJUK_Tender_1000267.pdf,1,,14,0,0,Xen/South Dhaka/Repair and,Superintending Engineer (Civil Circle-3) | Office of the Chief Engineer (Implementation) | Superintending Engineer (Civil Circle-1),1000267;1044805;189828;209949;214250;251218;286205;507537;514341;514342;514343;662605;748677;792327
pr0098,Lift and Electrical Equipement Repare maintenance1819,LIFT AND ELECTRICAL EQUIPEMENT REPARE MAINTENANCE1819,,1,charged a tender notice,19,Tender Notice_PDFs/RAJUK_Tender_1002814.pdf,1,,19,0,0,Xen/Electrical/Repair and,Office of the Superintending Engineer (Electrical) | office of the Chief Engineer ( Project & Design),1002814;1002854;1081271;1081736;1083479;1222794;260788;260843;480550;480572;517938;517945;536846;583196;583212;704135;825901;888828;948446
pr0099,Dress Costume,DRESS COSTUME,,1,charged a tender notice,2,Tender Notice_PDFs/RAJUK_Tender_1077511.pdf,1,,2,0,0,RAJUK/admin/Dress Costume,Director (Admin),1077511;1129777
pr0100,Procurement of heavy vehicals and equipements,PROCUREMENT OF HEAVY VEHICALS AND EQUIPEMENTS,,1,charged a tender notice,1,Tender Notice_PDFs/RAJUK_Tender_110916.pdf,1,,1,0,0,MEC-Heavy Vehicals,office of the Chief Engineer ( Project & Design),110916
pr0101,Uttara Apment Project Apment Project-04,UTTARA APMENT PROJECT APMENT PROJECT 04,,1,charged a tender notice,99,Tender Notice_PDFs/RAJUK_Tender_125042.pdf,1,,99,0,0,Chief Engr/Implementationart/Uttara,office of the Chief Engineer ( Project & Design) | Office of the Chief Engineer (Implementation) | Uttara Apartment Project,125042;125126;125292;125293;125294;125295;125297;125298;125300;125301;146363;146364;146365;146370;146372;146374;146376;146377;146380;146381;149102;149103;149104;149105;149107;149108;149110;149115;149117;149118;150704;168193;174655;174658;174661;174662;174664;174665;174666;174667;174668;174669;174670;174671;174673;174674;174677;174678;174680;174683;174685;174686;182856;198193;198200;198298;199294;199306;199307;199891;209736;236241;236242;247987;248286;248317;248616;248617;248618;248619;248621;248622;248623;248625;248631;248633;287329;287337;287341;287345;287350;287352;287354;287356;287357;287358;287360;423280;501956;502059;502977;502982;502984;584524;79262;79395;80585;80586;98112
pr0102,Construction of Residence for displaced Family at badda Rehebilation Zone.,CONSTRUCTION OF RESIDENCE FOR DISPLACED FAMILY AT BADDA REHEBILATION ZONE,,1,charged a tender notice,1,Tender Notice_PDFs/RAJUK_Tender_126807.pdf,1,,1,0,0,REV-Badda-Rehebilation,Office of the Chief Engineer (Implementation),126807
pr0103,Construction of Regional/Zonal Office/Facilites,CONSTRUCTION OF REGIONAL ZONAL OFFICE FACILITES,,1,charged a tender notice,1,Tender Notice_PDFs/RAJUK_Tender_1307402.pdf,1,,1,0,0,SE/CC3/W01,Superintending Engineer (Civil Circle-3),1307402
pr0104,Residents for Rajuk Officer and Staff for Rajuk Officer and Staff,RESIDENTS FOR RAJUK OFFICER AND STAFF FOR RAJUK OFFICER AND STAFF,,1,charged a tender notice,7,Tender Notice_PDFs/RAJUK_Tender_162060.pdf,1,,7,0,0,Chief Engr/Implementationart/Residents,office of the Chief Engineer ( Project & Design) | Office of the Chief Engineer (Implementation),162060;162590;170785;173602;173603;173605;79261
pr0105,Building and Infrastructrur's Renovation and Reconstraction,BUILDING AND INFRASTRUCTRUR S RENOVATION AND RECONSTRACTION,,1,charged a tender notice,1,Tender Notice_PDFs/RAJUK_Tender_198333.pdf,1,,1,0,0,RAJUK/ELEC/Revenue/Ja1,office of the Chief Engineer ( Project & Design),198333
pr0106,Uttara Apment Project Engr/Implementationart/Uttara Apment Project-04 Tender/Proposal UAP/EM/2016-2017/EL/04,UTTARA APMENT PROJECT ENGR IMPLEMENTATIONART UTTARA APMENT PROJECT 04 TENDER PROPOSAL UAP EM 2016 2017 EL 04,,1,charged a tender notice,1,Tender Notice_PDFs/RAJUK_Tender_248630.pdf,1,,1,0,0,Chief,,248630
pr0107,Installation of street lights at Purbachal new town Project,INSTALLATION OF STREET LIGHTS AT PURBACHAL NEW TOWN PROJECT,,1,charged a tender notice,6,Tender Notice_PDFs/RAJUK_Tender_905028.pdf,1,,6,0,0,pd/purbachal/EM,Purbachal New Town Project,905028;905029;905030;905031;905032;905033
pr0108,Print Accessiories,PRINT ACCESSIORIES,,1,charged a tender notice,1,Tender Notice_PDFs/RAJUK_Tender_980104.pdf,1,,1,0,0,RJK-OfficeExpenditure/Print Accessiories,Office of the Superintending Engineer (Electrical),980104
