tender_id,source_file,page,amendment_no,amendment_no_printed,changed_fields,changed_field_count,eligibility_changed,has_change_table,notice_text
1257398,Tender Notice_PDFs/GDA_Tender_1257398.pdf,2,1,"1 the newspaper advertisement was delayed, leaving an insufficient amount of time between the publication date and the tender opening.",Closing Date & Time;Opening Date & Time,2,no,yes,This timing failed to meet the mandatory duration required by PPR 2025.
1257431,Tender Notice_PDFs/GDA_Tender_1257431.pdf,2,2,2,Closing Date & Time;Opening Date & Time,2,no,yes,to extend tender validity period.
1020481,Tender Notice_PDFs/KDA_Tender_1020481.pdf,2,1,1,Closing Date & Time;Document last selling date & time;Eligibility of Consultant;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,5,yes,yes,"Due to uploading necessary drawings, the tender dropping time extended by 7 days"
1072723,Tender Notice_PDFs/KDA_Tender_1072723.pdf,2,1,1,,0,no,yes,Corrigendum
1229751,Tender Notice_PDFs/KDA_Tender_1229751.pdf,2,2,2,Eligibility of Consultant,1,yes,yes,Corrigendum
1265434,Tender Notice_PDFs/KDA_Tender_1265434.pdf,2,1,1,"Brief Description of Goods,Works or Service;Closing Date & Time;Document last selling date & time;Eligibility of Consultant;Last date & time for Tender/Proposal Security Submission;Opening Date & Time",6,yes,yes,Prepare Amendment /Corrigendum
262818,Tender Notice_PDFs/KDA_Tender_262818.pdf,2,1,1,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,4,no,yes,Form Correction
459665,Tender Notice_PDFs/KDA_Tender_459665.pdf,2,1,1,Eligibility of Consultant;TDS/PDS--C. Qualification Criteria--,2,yes,yes,Amendment
728690,Tender Notice_PDFs/KDA_Tender_728690.pdf,2,1,1,TDS/PDS--C. Qualification Criteria--,1,yes,yes,Corrigendum
728691,Tender Notice_PDFs/KDA_Tender_728691.pdf,2,1,1,TDS/PDS--C. Qualification Criteria--,1,yes,yes,Corrigendum
728692,Tender Notice_PDFs/KDA_Tender_728692.pdf,2,1,1,TDS/PDS--C. Qualification Criteria--,1,yes,yes,Corrigendum
868640,Tender Notice_PDFs/KDA_Tender_868640.pdf,2,4,4,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time;TDS/PDS--C. Qualification Criteria--,5,yes,yes,Due to corrigendum
941420,Tender Notice_PDFs/KDA_Tender_941420.pdf,2,1,1,Closing Date & Time;Document last selling date & time;Eligibility of Consultant;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,5,yes,yes,Corrigendum
1000530,Tender Notice_PDFs/RAJUK_Tender_1000530.pdf,1,1,1,Eligibility of Consultant,1,yes,yes,"Some changes are made in the TDS section. Field Name Old Value Eligibility of As per ITT and TDS. Consultant TDS/PDS--C. Tenderer shall own or have proven access to hire or lease of the major construction equipments, in full working order as follows : T Qualification Minimum Number Criteria-- No Equipment Type and Characteristics Required No 1 Vibrators of varying dia, both diesel and electric operated 5 (five) nos 1 Vibrators of varyin 2 Diesel Generator (50 KVA) 2 (two) nos. 2 Diesel Generator 3 Power Rammer 2 (two) nos. 3 Power Rammer 4 Welding Machine 2 (two) nos. 4 Welding Machine 5 Water pump for dewatering and curing and other purposed with minimum lifting head of 40m, minimum capacity 50 cum/hr 2 (two) nos. 5 Water pump for de 6 Gandula, hoist or crane, Compatible Lift crane or equivalent system for each bldg. 2(two) sets 6 Gandula, hoist or Minimum Number No Equipment Type and Characteristics Required No 7 2 H.P. Diesel pump 2 (two) nos. 7 2 H.P. Diesel pum 8 Truck – 5 (five) ton capacity 2 (two) nos. 8 Truck – 5 (five) ton 9 Theodolite/Total Station 2 (two) sets 9 Theodolite/Total S 10 Levelling Instrument 2 (two) sets 10 Levelling Instrume 11 18 BWG Steel Shuttering and adjustable G.I. or Steel Props to cover minimum 20,000 sft. at a time. 11 18 BWG Steel Sh 12 Compatible Tower Crane as required 12 Compatible Tower 13 Hydraulic Static P Brief Construction of Swimming pool complex/Health Club including internal sanitary, water supply, internal electrification and other ancillary works at Uttara Apartment Project. Construction of Swim Description of Goods,Works or Service"
1000945,Tender Notice_PDFs/RAJUK_Tender_1000945.pdf,2,1,1,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,4,no,yes,Amendment/ Corrigendum-01
