tender_id,source_file,page,amendment_no,amendment_no_printed,changed_fields,changed_field_count,eligibility_changed,has_change_table,notice_text
1082495,Tender Notice_PDFs/RAJUK_Tender_1082495.pdf,2,1,"1 1) Due to browser catche memory a mistake occured, actual site location will be Sector-04, Uttara Residential Area. 2) Correction of Specific experience: 9.1(b) The minimum specific experience in different type of construction work (R.C.C,Brickwork,Painting) of at least 1(One) contract",,0,no,yes,successfully completed within the last 5(Five) years with a value of al least Tk. 0.25 (Zero point two Five) crore through a single contract in any Government / Semi-Government / Autonomous organization of Bangladesh. (Year counting backward from the date of Publication of IFT)
1097226,Tender Notice_PDFs/RAJUK_Tender_1097226.pdf,2,1,1,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,4,no,yes,"Due to the national election, the tender submission date has been rescheduled."
1135936,Tender Notice_PDFs/RAJUK_Tender_1135936.pdf,2,1,1,Closing Date & Time;Completion Date(Lot No : 01);Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,5,no,yes,Correction of BOQ Item NO-2
1170765,Tender Notice_PDFs/RAJUK_Tender_1170765.pdf,2,1,1 Correction of ITT Clause 34.1,,0,no,yes,Actual Tender Security will be Tk. 2300000/- (Twenty Three) Lac.
1170766,Tender Notice_PDFs/RAJUK_Tender_1170766.pdf,2,1,1 Correction of ITT Clause 34.1,,0,no,yes,Actual Tender Security will be Tk. 2350000/- (Twenty Three Lac Fifty Thousand) Lac.
1173557,Tender Notice_PDFs/RAJUK_Tender_1173557.pdf,2,1,1,,0,no,yes,Manpower Designation
1186178,Tender Notice_PDFs/RAJUK_Tender_1186178.pdf,2,1,"1 Correction of ITT Clause 23.1 (j). Tenderer shall submit with its Tender, the following additional documents:- i) Valid and Updated Trade License; (2025-2026) ii) VAT/BIN registration Certificate; iii) Income Tax Clearance Certificate;(2023-2024)",,0,no,yes,iv) Enlistment Electrical Contractor of RAJUK or Other Govt./Semi Govt./Autonomous Organization/ Reputed Bonafied Firm; v) Electrical ABC Supervisory & Contrctory License (Up-to-date). vi) Manufacturer Authorization Letter Mandatory for BOQ item no-3 & 4. vii) 2 (Two) years guarantee for all major components from Manufacturer. viii) Quality assurance certificate from international agency/Manufacturer. iX) 50% retention money will be realised completion of work after 1 (one) years and others 50% retention money will be realised completion of work after 2 (Two) years.
1186179,Tender Notice_PDFs/RAJUK_Tender_1186179.pdf,2,1,"1 Correction of ITT Clause 23.1 (j). Tenderer shall submit with its Tender, the following additional documents:- i) Valid and Updated Trade License; (2025-2026) ii) VAT/BIN registration Certificate; iii) Income Tax Clearance Certificate;(2023-2024)",,0,no,yes,iv) Enlistment Electrical Contractor of RAJUK or Other Govt./Semi Govt./Autonomous Organization/ Reputed Bonafied Firm; v) Electrical ABC Supervisory & Contrctory License (Up-to-date). vi) Manufacturer Authorization Letter Mandatory for BOQ item no-3 & 4. vii) 2 (Two) years guarantee for all major components from Manufacturer. viii) Quality assurance certificate from international agency/Manufacturer. iX) 50% retention money will be realised completion of work after 1 (one) years and others 50% retention money will be realised completion of work after 2 (Two) years.
1205154,Tender Notice_PDFs/RAJUK_Tender_1205154.pdf,2,1,1,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,4,no,yes,Due to Correction Grand summary & Provisional Sum Form.
1206004,Tender Notice_PDFs/RAJUK_Tender_1206004.pdf,2,1,"1 Correction of Experience Criteria 13.1 (a), 13.1 (b) (a) Reputed Bonafide Firm / Organization/ Manufacturer/ Authorized Agent having minimum 05 ( Five) years experience of Operation & Maintenance of (Delfar Brand) Lift. ( years counting backward from the date of Publication of IFT in the",,0,no,yes,"Newspaper). (b) The Tenderer shall have successfully Completed of (Delfar Brand) Lift Operation, Servicing and Maintenance Works of minimum amount Tk. 2.50 (Two lac fifty thousand) Lac single Contract within last 05 ( Five) years Under in Govt./ Semi Govt./ Autonomous body. i.e Counting backward from the date of publication of IFT in the News Paper/ Website."
1207633,Tender Notice_PDFs/RAJUK_Tender_1207633.pdf,2,1,1 Due to National Perlament Election-2026. The Intended Tenderers request us to extend the tender submission time. &,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,4,no,yes,"Correction of ITT Clause 30.1 in Tender Data Sheet. The amount of the Tender Security shall be 12.50 (Twelve lac Fifty Thousand) only in favour of Chairman, RAJUK."
1207634,Tender Notice_PDFs/RAJUK_Tender_1207634.pdf,2,1,1 Due to National Perlament Election-2026. The Intended Tenderers request us to extend the tender submission time. &,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,4,no,yes,"Correction of ITT Clause 30.1 in Tender Data Sheet. The amount of the Tender Security shall be 12.00 (Twelve lac) only in favour of Chairman, RAJUK."
1207635,Tender Notice_PDFs/RAJUK_Tender_1207635.pdf,2,2,2,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,4,no,yes,Correction of Grand summary
1207636,Tender Notice_PDFs/RAJUK_Tender_1207636.pdf,2,1,1 Due to National Perlament Election-2026. The Intended Tenderers request us to extend the tender submission time. &,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,4,no,yes,"Correction of ITT Clause 30.1 in Tender Data Sheet. The amount of the Tender Security shall be 12.00 (Twelve lac) only in favour of Chairman, RAJUK."
1207637,Tender Notice_PDFs/RAJUK_Tender_1207637.pdf,2,1,1,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,4,no,yes,Due to National Perlament Election-2026. The Intended Tenderers request us to extend the tender submission time.
