tender_id,clause_no,source_file,page,source_field,printed_label,text,chars,categories,defers_to_another_document,money_taka,money_original,money_words,money_scale_words,money_reading,money_unresolved,years,contract_counts,percentages
583276,6,Tender Notice_PDFs/RAJUK_Tender_583276.pdf,1,eligibility,Eligibility of Tenderer,e) Tenderer must have up-to-date ABC/BC category Contractory & Electrical Supervisory License from Bangladesh Electrical Licensing Board.,137,cert_licence_class,no,,,,,,,,,
583276,7,Tender Notice_PDFs/RAJUK_Tender_583276.pdf,1,eligibility,Eligibility of Tenderer,f) The Tenderer must have Income Tax clearance Certificate (2019-2020).,71,cert_tin;cert_other,no,,,,,,,,,
583276,8,Tender Notice_PDFs/RAJUK_Tender_583276.pdf,1,eligibility,Eligibility of Tenderer,g) The Tenderer must have VAT/BIN Registration Certificate.,59,cert_vat;cert_bin;cert_other,no,,,,,,,,,
583276,9,Tender Notice_PDFs/RAJUK_Tender_583276.pdf,1,eligibility,Eligibility of Tenderer,h) The Tenderer must have valid Trade License (2020-2021),57,cert_trade_licence,no,,,,,,,,,
583663,1,Tender Notice_PDFs/RAJUK_Tender_583663.pdf,1,eligibility,Eligibility of Tenderer,As per TDS.,11,deferred,yes,,,,,,,,,
583666,1,Tender Notice_PDFs/RAJUK_Tender_583666.pdf,1,eligibility,Eligibility of Tenderer,As Per TDS.,11,deferred,yes,,,,,,,,,
584524,1,Tender Notice_PDFs/RAJUK_Tender_584524.pdf,1,eligibility,Eligibility of Tenderer,This invitation for Tender is open to all eligible Reputed Supplier/Tenderer as mentioned below as further detailed in the Tender Data Sheet (TDS) of the Tender Document. a) The minimum number of years of general experience of the Supplier/Tenderer in the electro-¬mechanical works shall be five,295,experience_general,no,,,,,,,,,
584524,2,Tender Notice_PDFs/RAJUK_Tender_584524.pdf,1,eligibility,Eligibility of Tenderer,"(05) years. b) The minimum specific experience of the Supplier/Tenderer at least 01 (One) contract of Supply, Installation & Testing of CCTV System successfully completed within the last five",191,experience_similar;experience_count,no,,,,,,,5,1,
584524,3,Tender Notice_PDFs/RAJUK_Tender_584524.pdf,1,eligibility,Eligibility of Tenderer,(5) years (Years/Date counting backward from the date of publication of IFT in the e-GP system) with a value of at least Tk. 27.00 (Twenty Seven) Lac only Government/ Semi-Government/ Autonomous Bodies /Private within Bangladesh. The issued Private Certificate must be authenticated (verified) by the Executive Engineer of PWD within his jurisdiction. c) The minimum amount of Liquid Assets or Working Capital or Letter of Commitment for Bank’s Undertaking for line of Credit as per Form PG3-8 of Tender and Contract Forms must be submitted for this Purpose of the successful Tenderer shall not be less than Tk. 30.00 Lac only. The Supporting Bank Document submitted along with the Tender must be issued in between Publication date & Submission date of the Tender. d) Supplier/Tendererr must have up-to-date ABC/BC category Contractory License (License must be issued in favour of his own organization) & Electrical Supervisory Certificate from Bangladesh Electrical Licensing Board.,983,financial_liquid;personnel;cert_other;geographic;cert_licence_class,no,2700000.00;3000000.00;2700000.00;3000000.00,Tk. 27.00 (Twenty Seven) Lac | Tk. 30.00 Lac | 27.00 (Twenty Seven) Lac | 30.00 Lac,Twenty Seven |  | Twenty Seven | ,lac,"the digits and the words agree, so the scale word is applied to them | the scale word was applied to the digits; no amount in words is printed beside them to check it against | the digits and the words agree, so the scale word is applied to them | the scale word was applied to the digits; no amount in words is printed beside them to check it against",,5,,
590111,1,Tender Notice_PDFs/RAJUK_Tender_590111.pdf,1,eligibility,Eligibility of Tenderer,As per TDS.,11,deferred,yes,,,,,,,,,
