document_id,file,filename,folder,kind,tender_id,pages,bytes,sha256,characters,words,ruled_tables,images,script,has_text_layer,needs_ocr,second_extractor_chars,extractors_agree,duplicate_text_of,read_error,fields_read,dates_read,eligibility_chars,lots_read,beneficial_owners_read,creator,producer,pdf_created,pdf_modified,interleaved_layout_warnings,interleaved_layout_detail
RDA_Tender_731597,Tender Notice_PDFs/RDA_Tender_731597.pdf,RDA_Tender_731597.pdf,Tender Notice_PDFs,tender_notice,731597,2,91254,f45ef4047dce814c4651282e677c52a72bb237d142a95afd22baf0b5002ea3da,3915,545,1,2,en,yes,no,4005,yes,,,46,9,18,1,0,Chromium,Skia/PDF m149,D:20260715110534+00'00',D:20260715110534+00'00',0,
RDA_Tender_745614,Tender Notice_PDFs/RDA_Tender_745614.pdf,RDA_Tender_745614.pdf,Tender Notice_PDFs,tender_notice,745614,2,91471,14cfab374d299db959bb2d95b2652d8c4bfa1bacb6ce837fae2aa4e063d0b029,3902,545,1,2,en,yes,no,3993,yes,,,45,9,18,1,0,Chromium,Skia/PDF m149,D:20260715110533+00'00',D:20260715110533+00'00',0,
RDA_Tender_836225,Tender Notice_PDFs/RDA_Tender_836225.pdf,RDA_Tender_836225.pdf,Tender Notice_PDFs,tender_notice,836225,2,92510,30749d0cad94883cddcb1da4cab19e134d5d3ef4be01dcd25f6231ec36862cf4,4083,574,1,2,en,yes,no,4175,yes,,,46,9,18,1,0,Chromium,Skia/PDF m149,D:20260715110532+00'00',D:20260715110532+00'00',0,
RDA_Tender_840860,Tender Notice_PDFs/RDA_Tender_840860.pdf,RDA_Tender_840860.pdf,Tender Notice_PDFs,tender_notice,840860,2,92788,71e303a1eb5dbc4f834e100f05c04562a76204336d7d6883d3c85a1129d5bd2e,4227,560,1,2,en,yes,no,4321,yes,,,46,9,18,1,0,Chromium,Skia/PDF m149,D:20260715110531+00'00',D:20260715110531+00'00',0,
RDA_Tender_859008,Tender Notice_PDFs/RDA_Tender_859008.pdf,RDA_Tender_859008.pdf,Tender Notice_PDFs,tender_notice,859008,2,106783,5326a1e03c0f34fac9e61d0c2208a24839d309f9cbe1ecbaaf2896a1b3df088c,4575,632,1,2,en,yes,no,4674,yes,,,48,9,18,1,0,Chromium,Skia/PDF m149,D:20260715110531+00'00',D:20260715110531+00'00',0,
RDA_Tender_860822,Tender Notice_PDFs/RDA_Tender_860822.pdf,RDA_Tender_860822.pdf,Tender Notice_PDFs,tender_notice,860822,2,93232,0d4bd4f4406beba43cb25871421c02bc19abd634207c2bfd5f29f5dbf5a77329,5332,689,1,2,en,yes,no,5436,yes,,,46,9,17,1,0,Chromium,Skia/PDF m149,D:20260715110528+00'00',D:20260715110528+00'00',0,
RDA_Tender_860823,Tender Notice_PDFs/RDA_Tender_860823.pdf,RDA_Tender_860823.pdf,Tender Notice_PDFs,tender_notice,860823,2,92653,ac873120969998cbf806420d80902976ec2a0608a276504b7a8d1f081d619db2,4510,590,1,2,en,yes,no,4608,yes,,,46,9,18,1,0,Chromium,Skia/PDF m149,D:20260715110529+00'00',D:20260715110529+00'00',0,
RDA_Tender_860824,Tender Notice_PDFs/RDA_Tender_860824.pdf,RDA_Tender_860824.pdf,Tender Notice_PDFs,tender_notice,860824,2,92864,1387f30d2bb300115bc7997a6c70b2391bfc52b9aa74f5350e4fde256ff5561d,4599,639,1,2,en,yes,no,4696,yes,,,46,9,18,1,0,Chromium,Skia/PDF m149,D:20260715110530+00'00',D:20260715110530+00'00',0,
RDA_Tender_880238,Tender Notice_PDFs/RDA_Tender_880238.pdf,RDA_Tender_880238.pdf,Tender Notice_PDFs,tender_notice,880238,2,93267,19c820d2b8926803c18f34e7a7d7458345a8b8c638b6e2113cce4270f59b00f2,4358,580,1,2,en,yes,no,4456,yes,,,46,9,11,1,0,Chromium,Skia/PDF m149,D:20260715110528+00'00',D:20260715110528+00'00',0,
RDA_Tender_929618,Tender Notice_PDFs/RDA_Tender_929618.pdf,RDA_Tender_929618.pdf,Tender Notice_PDFs,tender_notice,929618,2,93257,557c81ccec911c16968b832c5bf0e5252b35c5357370722cb1210ba50966a0ab,4346,572,1,2,en,yes,no,4444,yes,,,46,9,11,1,0,Chromium,Skia/PDF m149,D:20260715110527+00'00',D:20260715110527+00'00',0,
RDA_Tender_935036,Tender Notice_PDFs/RDA_Tender_935036.pdf,RDA_Tender_935036.pdf,Tender Notice_PDFs,tender_notice,935036,2,106048,20d3de6d0a5fe064e96b2ab8afccdeee1fa0f62b545d93f1b8ea76e69636861e,4741,659,2,1,en,yes,no,4846,yes,,,46,7,11,1,0,Chromium,Skia/PDF m149,D:20260715110525+00'00',D:20260715110525+00'00',0,
RDA_Tender_935037,Tender Notice_PDFs/RDA_Tender_935037.pdf,RDA_Tender_935037.pdf,Tender Notice_PDFs,tender_notice,935037,2,92633,ac86dec567f9985e058a4a6335372b14502d9adf1f2ec7312511bb9aef998397,4560,632,1,2,en,yes,no,4656,yes,,,46,9,11,1,0,Chromium,Skia/PDF m149,D:20260715110524+00'00',D:20260715110524+00'00',0,
RDA_Tender_935862,Tender Notice_PDFs/RDA_Tender_935862.pdf,RDA_Tender_935862.pdf,Tender Notice_PDFs,tender_notice,935862,2,90464,ce9d2aa3218db1b489ae615f14ad2ef0f3b4648f701cb98c5101403e665319f9,4161,570,1,1,en,yes,no,4252,yes,,,44,7,11,1,0,Chromium,Skia/PDF m149,D:20260715110525+00'00',D:20260715110525+00'00',0,
RDA_Tender_935863,Tender Notice_PDFs/RDA_Tender_935863.pdf,RDA_Tender_935863.pdf,Tender Notice_PDFs,tender_notice,935863,2,91711,d642a8a9e72114f53d530ed1c1876e2a113f83884862f86c71d2d7d8d396cf03,4017,554,1,2,en,yes,no,4107,yes,,,46,9,11,1,0,Chromium,Skia/PDF m149,D:20260715110526+00'00',D:20260715110526+00'00',0,
RDA_Tender_941511,Tender Notice_PDFs/RDA_Tender_941511.pdf,RDA_Tender_941511.pdf,Tender Notice_PDFs,tender_notice,941511,2,93338,cb84fc06874ac76820f50985f50dabf35917d0d7715c815c055b71cc0366a317,4373,577,1,2,en,yes,no,4472,yes,,,46,9,11,1,0,Chromium,Skia/PDF m149,D:20260715110523+00'00',D:20260715110523+00'00',0,
RDA_Tender_941590,Tender Notice_PDFs/RDA_Tender_941590.pdf,RDA_Tender_941590.pdf,Tender Notice_PDFs,tender_notice,941590,2,93734,e01a38745dc551836deb451d1cb17adc1de05af24c5e905edbd34ef0d205762a,4313,598,1,2,en,yes,no,4406,yes,,,46,9,11,1,0,Chromium,Skia/PDF m149,D:20260715110522+00'00',D:20260715110522+00'00',0,
