id,name,match_key,other_printed_names,printed_name_variants,roles,documents,first_document,first_page,name_read_from_interleaved_layout,notices_published,awards_published,total_contract_value_taka,districts,parent_named,notices_with_substantive_criteria,notices_without_substantive_criteria,distinct_winners,winners
og0099,"Executive Engineer, Construction Division- 3",EXECUTIVE ENGINEER CONSTRUCTION DIVISION 3,,1,procuring entity,2,Tender Notice_PDFs/CDA_Tender_786407.pdf,1,,2,0,0,Chattogram,Chittagong Development Authority,2,0,0,
og0100,Bangladesh Water Development Board,BANGLADESH WATER DEVELOPMENT BOARD,,1,agency,1,Tender Notice_PDFs/COXDA_Tender_20558.pdf,1,,1,0,0,Dinajpur,Ministry of Water Resources,0,0,0,
og0101,Dinajpur O&M Division (BWDB),DINAJPUR O M DIVISION BWDB,,1,procuring entity,1,Tender Notice_PDFs/COXDA_Tender_20558.pdf,1,,1,0,0,Dinajpur,Bangladesh Water Development Board,0,1,0,
og0102,Office of the Project Director (KDA Multipurpose Building),OFFICE OF THE PROJECT DIRECTOR KDA MULTIPURPOSE BUILDING,,1,procuring entity,2,Tender Notice_PDFs/KDA_Tender_1007160.pdf,1,,2,0,0,Khulna,Khulna Development Authority (KDA),2,0,0,
og0103,Office of the Estate Director,OFFICE OF THE ESTATE DIRECTOR,,1,procuring entity,6,Tender Notice_PDFs/KDA_Tender_925871.pdf,1,,6,0,0,Khulna,Khulna Development Authority (KDA),6,0,0,
og0104,"Office of the Executive Engineer, LGED, Department (LGED) Satkhira",OFFICE OF THE EXECUTIVE ENGINEER LGED DEPARTMENT LGED SATKHIRA,,1,procuring entity,1,Tender Notice_PDFs/RAJUK_Tender_111480.pdf,1,,1,0,0,Satkhira,Local Government Engineering,0,1,0,
og0105,"Office of the Executive Engineer, LGED, Department (LGED) Pabna",OFFICE OF THE EXECUTIVE ENGINEER LGED DEPARTMENT LGED PABNA,,1,procuring entity,1,Tender Notice_PDFs/RAJUK_Tender_159826.pdf,1,,1,0,0,Pabna,Local Government Engineering,0,1,0,
og0106,"Office of the Executive Engineer, LGED, Department (LGED) Barisal",OFFICE OF THE EXECUTIVE ENGINEER LGED DEPARTMENT LGED BARISAL,,1,procuring entity,1,Tender Notice_PDFs/RAJUK_Tender_168749.pdf,1,,1,0,0,Barisal,Local Government Engineering,0,1,0,
og0107,Ministry of Housing and,MINISTRY OF HOUSING AND,,1,ministry,1,Tender Notice_PDFs/RAJUK_Tender_248630.pdf,1,,1,0,0,,,0,0,0,
og0108,Rajdhani Unnayan Procuring Entity Name office of the Chief Kartripakkha (RAJUK) : Engineer ( Project & Design),RAJDHANI UNNAYAN PROCURING ENTITY NAME OFFICE OF THE CHIEF KARTRIPAKKHA RAJUK ENGINEER PROJECT DESIGN,,1,agency,1,Tender Notice_PDFs/RAJUK_Tender_248630.pdf,1,yes,1,0,0,,Ministry of Housing and,0,0,0,
og0109,Department of Public Health Engineering,DEPARTMENT OF PUBLIC HEALTH ENGINEERING,,1,agency,1,Tender Notice_PDFs/RAJUK_Tender_89768.pdf,1,,1,0,0,Laksmipur,"Ministry of Local Government, Rural",0,0,0,
og0110,"Office of the Executive Engineer DPHE, (DPHE) Lakshmipur",OFFICE OF THE EXECUTIVE ENGINEER DPHE DPHE LAKSHMIPUR,,1,procuring entity,1,Tender Notice_PDFs/RAJUK_Tender_89768.pdf,1,,1,0,0,Laksmipur,Department of Public Health Engineering,0,1,0,
